City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
257,Orange,US,99.23,scattered clouds,33.7,-117.7675,Meadows
258,Inirida,CO,82.67,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
260,Barinitas,VE,72.88,broken clouds,8.7622,-70.4111,Rapsodia EcoTours
261,Sao Joao Da Barra,BR,73.49,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
262,Tautira,PF,74.41,light rain,-17.7333,-149.15,Pension Oaoa
263,Oussouye,SN,80.69,broken clouds,12.485,-16.5469,Auberge du Routard
265,Labuhan,ID,74.25,broken clouds,-6.8844,112.2051,DoubleFAG
269,Kandrian,PG,75.76,light rain,-6.2167,149.55,Kandrian Station
271,Contamana,PE,80.56,few clouds,-7.3333,-75.0167,Shiringal Touristic Park
272,Tual,ID,79.23,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
273,Biak,ID,75.07,overcast clouds,-0.9131,122.8766,Penginapan Kim
274,Guanica,PR,87.13,few clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
276,Harper,LR,75.25,overcast clouds,4.375,-7.7169,Screensaver
278,Astoria,US,70.43,clear sky,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
281,Aragarcas,BR,88.45,clear sky,-15.8975,-52.2508,Pousada Tropical
282,Mecca,SA,93.2,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
283,Komsomolskiy,UZ,83.12,clear sky,40.4272,71.7189,Ikathouse
287,Suba,PH,83.93,broken clouds,10.8438,121.0102,Jarnchi Pension House
289,Stephenville,US,104.94,scattered clouds,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
291,Djibo,BF,93.24,overcast clouds,14.1022,-1.6306,Centre Des Ressources DPENA
293,Kota Belud,MY,75.38,broken clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
294,Kaduna,NG,72.72,overcast clouds,10.5222,7.4383,HAMDALA HOTEL
295,Mianyang,CN,77.85,broken clouds,31.4593,104.7542,如家快捷酒店
298,Namatanai,PG,79.34,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
300,Bajil,YE,90.77,overcast clouds,15.0584,43.2851,فندق حضرموت
302,Nuevo Progreso,MX,93.54,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
306,Pasighat,IN,76.05,overcast clouds,28.0667,95.3333,Siang Guest House
307,Buraydah,SA,97.25,broken clouds,26.326,43.975,Mövenpick Qassim
310,Limbang,MY,75.31,overcast clouds,4.75,115.0,Purnama Hotel
311,Hambantota,LK,78.62,overcast clouds,6.1241,81.1185,Bungalow 63
312,Boa Vista,BR,84.18,moderate rain,2.8197,-60.6733,Aipana Plaza Hotel
314,Los Llanos De Aridane,ES,76.75,clear sky,28.6585,-17.9182,Valle Aridane
315,Mawlaik,MM,75.69,scattered clouds,23.6333,94.4167,AKZ Guest House
316,Palu,ID,75.69,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
317,Asau,RO,71.96,clear sky,46.4333,26.4,Casa Mika Ciobanus
319,Dalian,CN,76.93,few clouds,38.9122,121.6022,Kempinski Hotel Dalian
320,San Patricio,US,97.52,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
321,Rodrigues Alves,BR,82.6,overcast clouds,-7.738,-72.6509,Pousada Aconchego
322,Oranjestad,AW,80.94,clear sky,12.524,-70.027,Divi Village Golf & Beach Resort
324,Luganville,VU,79.7,few clouds,-15.5333,167.1667,The Espiritu Hotel
326,Katsuura,JP,79.65,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
331,Puerto Escondido,MX,86.83,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
333,Great Falls,US,83.59,clear sky,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
334,Port-Gentil,GA,75.16,overcast clouds,-0.7193,8.7815,Fengshui Residence
337,Whitehorse,CA,77.77,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
339,Fort Dodge,US,82.4,clear sky,42.4975,-94.168,"Country Inn & Suites by Radisson, Fort Dodge, IA"
343,Yarmouth,US,80.71,clear sky,41.7057,-70.2286,Blue Rock Resort
344,Giddarbaha,IN,84.61,broken clouds,30.2,74.6667,panchayti dharamshala gidderbaha
345,Ankang,CN,71.42,scattered clouds,32.68,109.0172,安琪酒店
348,Moerai,PF,70.93,few clouds,-22.4333,-151.3333,Le Manotel
349,Cancun,MX,89.53,scattered clouds,21.1743,-86.8466,Hotel Tankah Cancun
350,Marica,BR,75.49,clear sky,-22.9194,-42.8186,Marica Hills
352,Atbasar,KZ,70.63,overcast clouds,51.8,68.3333,Гостиничный Комплекс Saad
353,Madison,US,92.55,broken clouds,34.7334,-86.5667,Embassy Suites by Hilton Huntsville
354,Teahupoo,PF,73.36,light rain,-17.8333,-149.2667,Vanira Lodge
356,Taos,US,80.2,few clouds,36.4072,-105.5731,El Monte Sagrado
357,Elizabeth City,US,82.42,light rain,36.2946,-76.2511,Hampton Inn Elizabeth City
358,Anakapalle,IN,78.75,overcast clouds,17.6833,83.0167,Satya Lodge
361,Fortuna,US,72.93,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
362,Kedgwick,CA,70.12,broken clouds,47.6446,-67.3434,A la Belle Etoile
365,Lamu,KE,75.09,scattered clouds,-2.2717,40.902,Lamu House
366,Lagoa,PT,73.76,scattered clouds,39.05,-27.9833,Casa Das Faias
368,Arlit,NE,100.31,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
369,Alghero,IT,75.29,clear sky,40.5589,8.3181,Smy Carlos V Alghero
370,Dalbandin,PK,78.03,light rain,28.8947,64.4101,Sanjrani House
371,Benghazi,LY,80.83,clear sky,32.1167,20.0667,Tibesti Hotel
372,Faanui,PF,77.58,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
373,Valdosta,US,93.97,clear sky,30.8327,-83.2785,Courtyard by Marriott Valdosta
376,Paracatu,BR,71.76,clear sky,-17.2222,-46.8747,Hotel Paracatu Plaza
377,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
380,Ucluelet,CA,79.09,clear sky,48.9329,-125.5528,Black Rock Oceanfront Resort
387,Shache,CN,85.14,scattered clouds,38.4167,77.2406,Delong Hotel
388,Boyolangu,ID,71.08,scattered clouds,-8.1181,111.8935,Yos ega cv
390,Luanda,AO,71.6,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
392,Nhamunda,BR,86.63,broken clouds,-2.1861,-56.7131,Pousada Da Praia
393,Nantucket,US,80.71,clear sky,41.2835,-70.0995,Jared Coffin House
398,Honiara,SB,79.52,light rain,-9.4333,159.95,Heritage Park Hotel
400,Tacuarembo,UY,70.7,few clouds,-31.7333,-55.9833,Complejo San Fructuoso
403,Itoman,JP,81.37,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
405,Barbacoas,CO,77.41,moderate rain,1.6715,-78.1398,edificio justin
406,Ciudad Bolivar,VE,89.31,broken clouds,8.1222,-63.5497,Hotel Edi
408,Fort Saint James,CA,87.26,clear sky,54.4333,-124.25,The View Hotel
410,Wadi Musa,JO,71.02,clear sky,30.3222,35.4793,Petra Palace Hotel
411,Carutapera,BR,78.85,overcast clouds,-1.195,-46.02,Lidera
412,Tomatlan,MX,90.18,overcast clouds,19.9333,-105.25,El Salvial
413,Gat,IL,80.4,clear sky,31.61,34.7642,OlusHome
416,Hasaki,JP,81.0,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
417,Damghan,IR,80.11,clear sky,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
419,Manokwari,ID,78.04,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
420,Bo Phloi,TH,75.31,broken clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
421,Fuengirola,ES,82.85,clear sky,36.54,-4.6247,Hotel Las Palmeras
422,Shimoda,JP,79.11,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
423,Kaputa,ZM,70.97,broken clouds,-8.4689,29.6619,Chelelwa Charlets
426,Encarnacion,PY,84.72,clear sky,-27.3333,-55.9,Hotel Posadas
431,Young,UY,70.84,broken clouds,-32.6833,-57.6333,Posada Gira el Sol
432,Tateyama,JP,79.11,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
433,Beba,CU,86.27,light rain,22.4437,-79.7253,Hostal Cubaustria
434,Kilindoni,TZ,75.9,broken clouds,-7.9139,39.6668,Bustani B&B
435,Buala,SB,80.37,light rain,-8.145,159.5921,Maringe Lagoon Lodge
436,Bosaso,SO,91.31,clear sky,11.2842,49.1816,Red Sea Hotel
437,Kisangani,CD,70.65,overcast clouds,0.5167,25.2,Grand Ramela Hotel
440,Shingu,JP,77.88,overcast clouds,33.7333,135.9833,Shingu UI Hotel
444,Rafaela,AR,79.99,broken clouds,-31.2503,-61.4867,Parra Hotel & Suites
446,Birjand,IR,84.67,haze,32.8663,59.2211,Birjand Tourist Hotel
448,Ferme-Neuve,CA,77.31,few clouds,46.7001,-75.4493,Pourvoirie Club Fontbrune Ltee
449,Alyangula,AU,70.86,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
